time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2
4.053626298904418945e+00,2.695696955825130914e+00,-1.424811169604023320e-01,2.746561077611150203e+00,-1.525867265339528045e-01,2.695696955825130914e+00,-1.424811169604023320e-01,3.282201526497567912e+00,-1.418406511301954387e+00,-5.789269999999999694e-01,6.734539999999999971e-01,-4.965390000000000192e+00,7.467550000000000132e+00,2.427857694445467729e-02,-1.890679599384330889e-01,2.541221376375863983e-01,-1.890679599384330889e-01,-2.130402930402929940e+00,-5.010989010989010950e-01,-5.512470000000000425e-01,0.000000000000000000e+00
4.056126356124877930e+00,2.701419089036392052e+00,-1.424811169604023320e-01,2.288800898009291984e+00,0.000000000000000000e+00,2.701419089036392052e+00,-1.424811169604023320e-01,3.083521400799912549e+00,-1.134725209041563598e+00,-5.838799999999999546e-01,6.808959999999999457e-01,-4.940210000000000434e+00,7.417399999999999771e+00,3.594800601806989460e-01,-1.885727870441214482e-01,2.538920482376115229e-01,-1.885727870441214482e-01,-1.503296703296703285e+00,-4.542124542124543751e-01,-5.469019999999999992e-01,0.000000000000000000e+00
4.058626413345336914e+00,2.706378271152818371e+00,-1.424811169604023320e-01,1.983627444941386431e+00,0.000000000000000000e+00,2.706378271152818371e+00,-1.424811169604023320e-01,2.863542609628207725e+00,-9.077801672332509453e-01,-5.888069999999999693e-01,6.882880000000000109e-01,-4.914830000000000254e+00,7.366979999999999862e+00,5.213028362994126530e-02,-1.880814869044808157e-01,2.536322087162922734e-01,-1.880814869044808157e-01,-6.945054945054938145e-01,-3.956043956043959753e-01,-5.425259999999999527e-01,0.000000000000000000e+00
4.061126470565795898e+00,2.712100404364079509e+00,-1.424811169604023320e-01,2.288800898009291984e+00,0.000000000000000000e+00,2.712100404364079509e+00,-1.424811169604023320e-01,2.748594267304424577e+00,-7.262241337866007784e-01,-5.937090000000000423e-01,6.956299999999999706e-01,-4.889280000000000292e+00,7.316309999999999647e+00,4.342788501085843023e-01,-1.875695053412491931e-01,2.534938933777519110e-01,-1.875695053412491931e-01,-3.252747252747258955e-01,-3.311355311355317355e-01,-5.381200000000000427e-01,0.000000000000000000e+00
4.063626527786254883e+00,2.717822537575340647e+00,-1.424811169604023320e-01,2.288800898009291984e+00,0.000000000000000000e+00,2.717822537575340647e+00,-1.424811169604023320e-01,2.656635593445398236e+00,-5.809793070292806894e-01,-5.985859999999999514e-01,7.029210000000000180e-01,-4.863550000000000040e+00,7.265399999999999636e+00,7.720645618475932004e-01,-1.870112644222880482e-01,2.533817852115345381e-01,-1.870112644222880482e-01,-1.846153846153839595e-01,-3.135531135531142155e-01,-5.336849999999999650e-01,0.000000000000000000e+00
4.066126585006713867e+00,2.722781719691766966e+00,-1.420996414129849228e-01,1.983627444941386431e+00,1.525867265339528045e-01,2.722781719691766966e+00,-1.420996414129849228e-01,2.522033963744596097e+00,-4.342661003166339850e-01,-6.034359999999999724e-01,7.101610000000000422e-01,-4.837650000000000006e+00,7.214260000000000339e+00,7.012881171421905258e-01,-1.861670308840511490e-01,2.532150409898572541e-01,-1.861670308840511490e-01,2.930402930402919992e-03,-2.842490842490850156e-01,-5.292210000000000525e-01,0.000000000000000000e+00
4.068626642227172852e+00,2.727740901808193286e+00,-1.420996414129849228e-01,1.983627444941386431e+00,0.000000000000000000e+00,2.727740901808193286e+00,-1.420996414129849228e-01,2.414352659983954208e+00,-3.474128802533071880e-01,-6.082610000000000516e-01,7.173490000000000144e-01,-4.811589999999999812e+00,7.162899999999999601e+00,4.358716371793082689e-01,-1.853898221956372661e-01,2.530790652193630197e-01,-1.853898221956372661e-01,1.963369963369956395e-01,-2.373626373626365194e-01,-5.247300000000000297e-01,0.000000000000000000e+00
4.071130514144897461e+00,2.732700083924619605e+00,-1.420996414129849228e-01,1.980605350186190883e+00,0.000000000000000000e+00,2.732700083924619605e+00,-1.420996414129849228e-01,2.327603198024401632e+00,-2.779303042026457504e-01,-6.130590000000000206e-01,7.244859999999999634e-01,-4.785359999999999836e+00,7.111329999999999707e+00,2.431701892693000633e-01,-1.844577220320304245e-01,2.529676173250498539e-01,-1.844577220320304245e-01,3.135531135531142155e-01,-2.139194139194131594e-01,-5.202109999999999790e-01,0.000000000000000000e+00
4.073630571365356445e+00,2.738040741588463334e+00,-1.420996414129849228e-01,2.136214171475339096e+00,0.000000000000000000e+00,2.738040741588463334e+00,-1.420996414129849228e-01,2.289325392714589125e+00,-2.223442433621166114e-01,-6.178320000000000478e-01,7.315720000000000001e-01,-4.758980000000000210e+00,7.059569999999999901e+00,4.289392122322907563e-01,-1.833245015372808040e-01,2.529178462819980377e-01,-1.833245015372808040e-01,2.959706959706966956e-01,-2.080586080586073194e-01,-5.156659999999999577e-01,0.000000000000000000e+00
4.076130628585815430e+00,2.744144350347141881e+00,-1.420996414129849228e-01,2.441387624543244872e+00,0.000000000000000000e+00,2.744144350347141881e+00,-1.420996414129849228e-01,2.319737839080320274e+00,-1.778753946896932947e-01,-6.225770000000000470e-01,7.386049999999999560e-01,-4.732450000000000045e+00,7.007629999999999804e+00,1.226155190812040274e+00,-1.819342329465467312e-01,2.529574212861865901e-01,-1.819342329465467312e-01,2.315018315018306794e-01,-1.963369963369956395e-01,-5.110949999999999660e-01,0.000000000000000000e+00
4.078630924224853516e+00,2.749103532463568200e+00,-1.420996414129849228e-01,1.983438293854808521e+00,0.000000000000000000e+00,2.749103532463568200e+00,-1.420996414129849228e-01,2.252477930035218012e+00,-1.423003157517546413e-01,-6.272959999999999647e-01,7.455869999999999997e-01,-4.705770000000000231e+00,6.955519999999999925e+00,9.780116280509844051e-01,-1.802188306829429765e-01,2.528695660595537964e-01,-1.802188306829429765e-01,3.076923076923083755e-01,-1.904761904761897995e-01,-5.064999999999999503e-01,0.000000000000000000e+00
4.081130981445312500e+00,2.754062714579996296e+00,-1.424811169604023320e-01,1.983627444942096973e+00,-1.525867265339528045e-01,2.754062714579996296e+00,-1.424811169604023320e-01,2.198707833016594115e+00,-1.443575979081942740e-01,-6.319890000000000230e-01,7.525159999999999627e-01,-4.678950000000000387e+00,6.903240000000000265e+00,5.693325254757687359e-01,-1.803404850008425153e-01,2.527984249967863972e-01,-1.803404850008425153e-01,8.410256410256415904e-01,-1.904761904761897995e-01,-5.018789999999999640e-01,0.000000000000000000e+00
4.083631038665771484e+00,2.758640421149005206e+00,-1.424811169604023320e-01,1.831040718407433543e+00,0.000000000000000000e+00,2.758640421149005206e+00,-1.424811169604023320e-01,2.125174410094762045e+00,-1.154860783265554275e-01,-6.366540000000000532e-01,7.593929999999999847e-01,-4.651989999999999625e+00,6.850810000000000066e+00,1.970914880771755806e-01,-1.782460361904948665e-01,2.526997128702391793e-01,-1.782460361904948665e-01,9.523809523809525501e-01,-1.846153846153839595e-01,-4.972349999999999826e-01,0.000000000000000000e+00
4.086131095886230469e+00,2.762836652170596707e+00,-1.424811169604023320e-01,1.678453991873480877e+00,0.000000000000000000e+00,2.762836652170596707e+00,-1.424811169604023320e-01,2.035830326450505989e+00,-9.238886266124435309e-02,-6.412930000000000019e-01,7.662179999999999547e-01,-4.624900000000000233e+00,6.798239999999999839e+00,-3.862342274613583815e-01,-1.756497384946418272e-01,2.525773288214752110e-01,-1.756497384946418272e-01,7.882783882783890306e-01,-1.787545787545781195e-01,-4.925669999999999771e-01,0.000000000000000000e+00
