time,pos1,vel1,tau1,pos2,vel2,tau2
4.617518663406372070e+01,-6.692988479438461979e-01,-1.049450549450551051e+00,-4.633866610295808819e+00,2.193484397650102835e-02,-9.175824175824160989e-01,-1.950765207290626080e+00
4.617852044105529785e+01,-6.719691767757680623e-01,-8.846153846153832490e-01,-4.748058020505934174e+00,1.888303959716175484e-02,-7.637362637362627993e-01,-1.970351877799386031e+00
4.618185448646545410e+01,-6.746395056076899266e-01,-7.307692307692299494e-01,-4.793707474942690006e+00,1.544975967040507214e-02,-1.082417582417583901e+00,-1.913833620231147226e+00
4.618518829345703125e+01,-6.784542610818640185e-01,-1.049450549450551051e+00,-4.610594266582880962e+00,1.163500419623098026e-02,-1.236263736263737201e+00,-1.849875540204497959e+00
4.618852210044860840e+01,-6.822690165560381104e-01,-1.181318681318682451e+00,-4.633599539192855943e+00,8.201724269474297557e-03,-1.181318681318682451e+00,-1.931067361133119498e+00
4.619185590744018555e+01,-6.860837720302122023e-01,-1.148351648351649601e+00,-4.656725513700907371e+00,4.768444342717614859e-03,-1.049450549450551051e+00,-1.943782278266886765e+00
4.619518971443176270e+01,-6.895170519569688850e-01,-9.175824175824160989e-01,-4.756266312959871456e+00,9.536888685435229718e-04,-1.016483516483518201e+00,-1.880390279815026044e+00
4.619852352142333984e+01,-6.925688563363081585e-01,-9.835164835164817987e-01,-4.863555348670665524e+00,-2.098115510795750538e-03,-9.835164835164817987e-01,-2.038441789296142836e+00
4.620185732841491699e+01,-6.956206607156474320e-01,-7.637362637362627993e-01,-4.902296518445872664e+00,-5.531395437552433236e-03,-9.175824175824160989e-01,-1.983054176541100722e+00
4.620519137382507324e+01,-6.982909895475692963e-01,-8.296703296703284991e-01,-5.017449534291543500e+00,-8.583199816891706746e-03,-1.082417582417583901e+00,-2.072813947385192090e+00
4.620852518081665039e+01,-7.013427939269085698e-01,-1.049450549450551051e+00,-4.987757579591461266e+00,-1.239795529106579863e-02,-1.115384615384616751e+00,-1.941504064936902418e+00
4.621185898780822754e+01,-7.051575494010826617e-01,-1.214285714285715301e+00,-4.874255739729991710e+00,-1.583123521782248133e-02,-1.082417582417583901e+00,-2.024006139251277592e+00
4.621519279479980469e+01,-7.097352559700915720e-01,-1.401098901098901450e+00,-4.745608607976954829e+00,-1.964599069199657322e-02,-1.016483516483518201e+00,-1.961732639135011835e+00
4.621852660179138184e+01,-7.139314869916830730e-01,-1.302197802197802901e+00,-4.830700504453911748e+00,-2.307927061875325592e-02,-9.505494505494489488e-01,-2.044604461375867377e+00
4.622186040878295898e+01,-7.177462424658571649e-01,-1.016483516483518201e+00,-4.923533622193619230e+00,-2.651255054550993862e-02,-9.505494505494489488e-01,-2.058994777554821631e+00
4.622519421577453613e+01,-7.207980468451964384e-01,-9.835164835164817987e-01,-5.100402056291092556e+00,-2.994583047226662131e-02,-1.082417582417583901e+00,-2.073568661722922535e+00
4.622852826118469238e+01,-7.234683756771183027e-01,-7.967032967032956492e-01,-5.216344081325920534e+00,-3.299763485160589482e-02,-9.835164835164817987e-01,-2.164620696258677590e+00
4.623186206817626953e+01,-7.261387045090401671e-01,-7.637362637362627993e-01,-5.263729165961945178e+00,-3.566796368352775914e-02,-8.296703296703284991e-01,-2.263484752918420106e+00
4.623519587516784668e+01,-7.295719844357968498e-01,-1.148351648351649601e+00,-5.158631666388046710e+00,-3.910124361028444184e-02,-8.626373626373613490e-01,-2.141274970922027787e+00
4.623852968215942383e+01,-7.330052643625535325e-01,-1.236263736263737201e+00,-5.190971972312647509e+00,-4.253452353704112454e-02,-1.236263736263737201e+00,-2.156577829914438027e+00
4.624186348915100098e+01,-7.375829709315624427e-01,-1.335164835164835750e+00,-4.994532528930396786e+00,-4.634927901121521643e-02,-1.181318681318682451e+00,-2.095766485804940960e+00
4.624519729614257812e+01,-7.413977264057365346e-01,-1.236263736263737201e+00,-5.156784647046221082e+00,-4.978255893797189913e-02,-1.115384615384616751e+00,-2.180096215953385652e+00
4.624853110313415527e+01,-7.448310063324932173e-01,-1.115384615384616751e+00,-5.258104189369198878e+00,-5.321583886472858183e-02,-9.505494505494489488e-01,-2.195940171071399494e+00
4.625186491012573242e+01,-7.482642862592499000e-01,-9.835164835164817987e-01,-5.290860606918263542e+00,-5.626764324406785533e-02,-7.637362637362627993e-01,-2.288258513841132658e+00
4.625519871711730957e+01,-7.513160906385909499e-01,-8.846153846153832490e-01,-5.400013566788048891e+00,-5.970092317082453803e-02,-9.835164835164817987e-01,-2.235794878829779897e+00
4.625853252410888672e+01,-7.547493705653476326e-01,-1.016483516483518201e+00,-5.364306207690578532e+00,-6.275272755016381154e-02,-9.835164835164817987e-01,-2.328470131556612532e+00
4.626186633110046387e+01,-7.585641260395217245e-01,-1.115384615384616751e+00,-5.321068680047607025e+00,-6.618600747692049424e-02,-1.049450549450551051e+00,-2.276362302876937527e+00
4.626520013809204102e+01,-7.623788815136958164e-01,-1.236263736263737201e+00,-5.346595043862589769e+00,-6.923781185625976775e-02,-9.835164835164817987e-01,-2.369392253132914128e+00
4.626853394508361816e+01,-7.665751125352873174e-01,-1.214285714285715301e+00,-5.295923538810762388e+00,-7.305256733043385964e-02,-9.835164835164817987e-01,-2.241342898530572114e+00
4.627186775207519531e+01,-7.707713435568788185e-01,-1.181318681318682451e+00,-5.314013817798215022e+00,-7.648584725719054234e-02,-1.016483516483518201e+00,-2.327095802272896474e+00
4.627520179748535156e+01,-7.749675745784703196e-01,-1.082417582417583901e+00,-5.332199224383040281e+00,-7.991912718394722503e-02,-1.115384615384616751e+00,-2.344358495835848544e+00
4.627853560447692871e+01,-7.787823300526444115e-01,-1.115384615384616751e+00,-5.426773807378499903e+00,-8.335240711070390773e-02,-1.082417582417583901e+00,-2.361796011758482194e+00
4.628186941146850586e+01,-7.822156099794010942e-01,-9.175824175824160989e-01,-5.529070904806173026e+00,-8.678568703746059043e-02,-1.115384615384616751e+00,-2.379407781464047744e+00
4.628520321846008301e+01,-7.856488899061577769e-01,-1.016483516483518201e+00,-5.562794341006862986e+00,-8.907454032196504556e-02,-6.978021978021970995e-01,-2.626078562267037508e+00
4.628853702545166016e+01,-7.887006942854970504e-01,-9.175824175824160989e-01,-5.672903755091801337e+00,-9.288929579613913745e-02,-8.846153846153832490e-01,-2.361745218472791841e+00
4.629187083244323730e+01,-7.917524986648363239e-01,-9.835164835164817987e-01,-5.714437367433405690e+00,-9.594110017547841096e-02,-1.082417582417583901e+00,-2.524837020469913984e+00
4.629520463943481445e+01,-7.951857785915930066e-01,-9.505494505494489488e-01,-5.679764592765200959e+00,-9.899290455481768447e-02,-1.148351648351649601e+00,-2.550769579261981779e+00
4.629853868484497070e+01,-7.990005340657670985e-01,-1.148351648351649601e+00,-5.637549952642975981e+00,-1.024261844815743672e-01,-9.505494505494489488e-01,-2.500578401061052780e+00
4.630187249183654785e+01,-8.035782406347760087e-01,-1.269230769230770051e+00,-5.511497257930671800e+00,-1.058594644083310499e-01,-9.175824175824160989e-01,-2.519223609967820021e+00
