time,pos1,pos2,vel1,vel2,tau1,tau2,meas_pos1,meas_pos2,meas_vel1,meas_vel2
1.900000000000000855e-01,1.430662228719397910e-01,-2.997617658745184155e-01,4.190762958546261907e-01,-9.449874049081482541e-01,0.000000000000000000e+00,-2.504885772894225315e-01,1.409899879064022976e-01,-2.947737109519654730e-01,5.546006935242119296e-01,-1.021720716916499017e+00
1.950000000000000899e-01,1.450802818137827965e-01,-3.043290600120139300e-01,3.864230641930646581e-01,-8.816781703322322805e-01,0.000000000000000000e+00,-5.274203799547905192e-04,1.430173907149233647e-01,-2.997620992460310885e-01,2.968520426342895480e-01,-7.092494153350040742e-01
2.000000000000000944e-01,1.468398953696470888e-01,-3.083918920277589626e-01,3.173601118136403776e-01,-7.433265665047085191e-01,0.000000000000000000e+00,-1.155994328618673295e-01,1.451857225260494433e-01,-3.042505416215659508e-01,3.229093021163574884e-01,-1.292184517425816193e+00
2.050000000000000988e-01,1.482943915944206492e-01,-3.118458299299500247e-01,2.643730094057187285e-01,-6.381132481651059507e-01,0.000000000000000000e+00,-2.257319815440702593e-01,1.469133217525360746e-01,-3.085369838681636390e-01,-3.158288694226433768e-01,-6.301792323131257811e-01
2.100000000000001033e-01,1.495222440571259137e-01,-3.148526267998675854e-01,2.266993292821277151e-01,-5.644628757262821761e-01,0.000000000000000000e+00,-8.525005755431250276e-02,1.483050796412024863e-01,-3.118158455843698662e-01,4.138077697587755344e-01,-6.689590758675438842e-01
2.150000000000001077e-01,1.505108514314761614e-01,-3.173862602761078344e-01,1.687077423283700472e-01,-4.489128010262715129e-01,0.000000000000000000e+00,-3.165555284845080752e-01,1.495032207178375872e-01,-3.149697603474729823e-01,2.878526979565215194e-01,-9.193237136444856183e-01
2.200000000000001121e-01,1.512910818585783967e-01,-3.195102697452268936e-01,1.433322004745525013e-01,-4.005801060253904589e-01,0.000000000000000000e+00,-1.947210589388961299e-01,1.504994014841770089e-01,-3.173789136257699206e-01,4.564680699310647016e-01,-3.233700435455567623e-01
2.250000000000001166e-01,1.519005364961423798e-01,-3.213020599205903549e-01,1.004212696514697328e-01,-3.160721170884518982e-01,0.000000000000000000e+00,2.911252234470151912e-02,1.513581923937926954e-01,-3.194168435157432873e-01,3.805655097357975025e-01,-5.529580349485128110e-01
2.300000000000001210e-01,1.522158639884908515e-01,-3.225071706755622269e-01,2.571689510230308617e-02,-1.659781524312492762e-01,0.000000000000000000e+00,-3.291892990004615660e-01,1.519489294789622691e-01,-3.214735880971708037e-01,2.102607791453599273e-02,-9.754921545040962094e-01
2.350000000000001255e-01,1.522845759362074225e-01,-3.232233099367948226e-01,1.759845029199333388e-03,-1.204534490345444686e-01,0.000000000000000000e+00,-2.571006376902062462e-01,1.522714766369815675e-01,-3.223736242989097001e-01,3.465868503654536137e-01,-3.759866124225491602e-02
2.400000000000001299e-01,1.522079341867270397e-01,-3.236589942081536941e-01,-3.241117083344952771e-02,-5.382227507882239581e-02,0.000000000000000000e+00,-1.580716930654218477e-01,1.523113158174463078e-01,-3.232488399902601062e-01,-1.443813932474354855e-01,-2.488510252186942884e-02
2.450000000000001343e-01,1.519255625887069305e-01,-3.236894800601274880e-01,-8.051550871452498037e-02,4.159373800481677708e-02,0.000000000000000000e+00,-3.385839024289122312e-01,1.521734615919441702e-01,-3.236068942500252565e-01,-4.670194654064987461e-01,-1.669155186918946099e-01
2.500000000000001110e-01,1.514668800680462057e-01,-3.233750953308896503e-01,-1.029329473728635563e-01,8.412038659841350463e-02,0.000000000000000000e+00,-2.091353789560193299e-01,1.519898569517812714e-01,-3.235964138108964883e-01,-4.013954244482836886e-03,2.919030030136343656e-01
2.550000000000001155e-01,1.508507330916787070e-01,-3.227543568561761500e-01,-1.434880774512319046e-01,1.641099565453890130e-01,0.000000000000000000e+00,-3.733232245249192838e-01,1.515637075674672318e-01,-3.234218995497536997e-01,-2.120253566682471225e-01,2.062165746608972394e-02
2.600000000000001199e-01,1.500905347227078634e-01,-3.218545429101355437e-01,-1.605483122909465432e-01,1.957396093678009374e-01,0.000000000000000000e+00,-1.356163177299025968e-01,1.507575837937910890e-01,-3.226721490622360133e-01,1.196184099172041548e-01,5.058172796835245233e-01
2.650000000000001243e-01,1.491615281948907024e-01,-3.206242251233772378e-01,-2.109988580559751803e-01,2.962885111685444883e-01,0.000000000000000000e+00,-2.351914032392090348e-01,1.501101118249082988e-01,-3.219411432254693506e-01,-3.953234281488350321e-01,-5.642245701323289619e-02
2.700000000000001288e-01,1.480164673364703642e-01,-3.189655549234654552e-01,-2.469580349799657681e-01,3.670563558432821116e-01,0.000000000000000000e+00,-2.048786477620850865e-01,1.491060782453731415e-01,-3.205330301219625477e-01,-7.822027976949622041e-02,2.579072875849633406e-01
2.750000000000001332e-01,1.466819145601096219e-01,-3.169328127177264420e-01,-2.867850480843684435e-01,4.458968226905484777e-01,0.000000000000000000e+00,-2.377863846501110656e-01,1.480354873197664844e-01,-3.188163218365057117e-01,-4.991046798557869923e-01,2.766463131853508783e-01
2.800000000000001377e-01,1.451611552807766936e-01,-3.145322589290998616e-01,-3.214287151161005496e-01,5.141572607275708418e-01,0.000000000000000000e+00,-1.885892293241496209e-01,1.466654676827993942e-01,-3.169209811478151950e-01,-9.644917530092211866e-02,3.986891835008610219e-01
2.850000000000001421e-01,1.434510563134423211e-01,-3.117568920341813321e-01,-3.625113792442816729e-01,5.958037859476743581e-01,0.000000000000000000e+00,-3.370768922862594219e-01,1.451430299756286124e-01,-3.146974208991721311e-01,-8.141021440806539555e-01,3.601608524914743370e-01
2.900000000000001465e-01,1.415900979231531076e-01,-3.086854629280044171e-01,-3.817554709139634461e-01,6.325469702012557205e-01,0.000000000000000000e+00,-1.790697439168496552e-01,1.433348975069535791e-01,-3.118159039076535688e-01,-1.174933534720399297e-01,8.450907971074248515e-01
2.950000000000001510e-01,1.395781809635001092e-01,-3.053171800202593156e-01,-4.228937879883518658e-01,7.145450816832263907e-01,0.000000000000000000e+00,-2.526508363932554180e-01,1.416633376251936749e-01,-3.086902113797990177e-01,-2.511403141969738018e-01,4.166523680099389892e-01
3.000000000000001554e-01,1.373887847664063133e-01,-3.015967438919324173e-01,-4.527306284482555121e-01,7.733746608266532929e-01,0.000000000000000000e+00,-3.315850663958099798e-01,1.395866264777951560e-01,-3.053175212577139974e-01,-1.671684239085728940e-01,7.131577949071592482e-01
3.050000000000001599e-01,1.350806456865352445e-01,-2.976445853500322980e-01,-4.703762398871934036e-01,8.072039203015790587e-01,0.000000000000000000e+00,-2.005049585284354730e-01,1.372229310877010333e-01,-3.016153181421834528e-01,-6.187664000957211474e-01,1.033733916451734514e+00
3.100000000000001643e-01,1.326392926606082823e-01,-2.934302139045037450e-01,-5.060171161276166840e-01,8.782632253985733772e-01,0.000000000000000000e+00,-1.266224669061273289e-01,1.348215100139458222e-01,-2.975634622825090170e-01,-5.262495155889215237e-01,6.719746921115141713e-01
3.150000000000001688e-01,1.299953034263169882e-01,-2.888098266736618958e-01,-5.514237463984065224e-01,9.695973144114327091e-01,0.000000000000000000e+00,-1.867337085927430196e-01,1.325894999326873436e-01,-2.931725346106491825e-01,-4.501467355687360228e-01,4.949857302784059776e-01
3.200000000000001732e-01,1.271484812932983099e-01,-2.837822772272196037e-01,-5.871299380886780828e-01,1.041086835431928703e+00,0.000000000000000000e+00,-2.859565939693451408e-01,1.299456228930525870e-01,-2.886915489544465974e-01,-3.102612866595882424e-01,7.546254359031505654e-01
3.250000000000001776e-01,1.241619296569079628e-01,-2.784768770895007517e-01,-6.072932688453097638e-01,1.080691799979235590e+00,0.000000000000000000e+00,-1.685687892185137038e-01,1.272856198956174856e-01,-2.838429075734010820e-01,-5.142589056256461344e-01,1.133083388386246337e+00
3.300000000000001821e-01,1.210347055076795852e-01,-2.728909109014942547e-01,-6.434010421749669639e-01,1.153318919401131293e+00,0.000000000000000000e+00,-3.803690668175031542e-01,1.242647280871550242e-01,-2.784057113668845229e-01,-5.525696560744659536e-01,8.076964178921484105e-01
3.350000000000001865e-01,1.178075569129748146e-01,-2.671075684998411304e-01,-6.472278582334564101e-01,1.159569077327669673e+00,0.000000000000000000e+00,-3.120608087795956331e-01,1.210245796543572283e-01,-2.729161733297199577e-01,-6.149385878841485686e-01,1.557390767270830700e+00
3.400000000000001910e-01,1.145396304521224123e-01,-2.612479688872014205e-01,-6.597155077641438936e-01,1.183829208892078988e+00,0.000000000000000000e+00,-2.564800779817252296e-01,1.178810200177656947e-01,-2.669360806362850447e-01,-7.258109739092806212e-01,1.386879252118403016e+00
3.450000000000001954e-01,1.111921974544962249e-01,-2.552314847226300754e-01,-6.790291851648370125e-01,1.222320906108237626e+00,0.000000000000000000e+00,-2.720103326202628069e-01,1.145103899586898677e-01,-2.612408589043134777e-01,-8.181847164422383356e-01,1.256807067261330069e+00
3.500000000000001998e-01,1.077574231057325943e-01,-2.490411465944495917e-01,-6.946411556621643335e-01,1.253348647720313735e+00,0.000000000000000000e+00,-1.948568173704708084e-01,1.112764124594915055e-01,-2.552681396533745262e-01,-4.468070867130976564e-01,1.385928709725981589e+00
3.550000000000002043e-01,1.042195449591107742e-01,-2.426436343021080022e-01,-7.202702743036347721e-01,1.305190532951548743e+00,0.000000000000000000e+00,-1.280887950487202276e-01,1.077841947031577263e-01,-2.491541067684497346e-01,-7.556653902055345817e-01,1.171355676592917616e+00
3.600000000000002087e-01,1.005322718063810100e-01,-2.359426853199780016e-01,-7.543941071518600605e-01,1.374713888950318097e+00,0.000000000000000000e+00,-2.736950753633620170e-01,1.043503448951721979e-01,-2.426644856375914650e-01,-7.273601911084544014e-01,1.009467819024663093e+00
3.650000000000002132e-01,9.673265453410320736e-02,-2.290137781962242602e-01,-7.651766832232885784e-01,1.396309140180180375e+00,0.000000000000000000e+00,-1.033059206415527509e-01,1.006711786725281860e-01,-2.359187160771352709e-01,-6.156668521472574707e-01,1.548611680001333646e+00
3.700000000000002176e-01,9.281926040798228750e-02,-2.218530777932053721e-01,-7.999161130987100243e-01,1.467455694224235607e+00,0.000000000000000000e+00,-2.009022127649923162e-01,9.664741260010659141e-02,-2.290259919189487070e-01,-4.700054706960856143e-01,1.048955612305404017e+00
3.750000000000002220e-01,8.877304741419786427e-02,-2.144204300991981449e-01,-8.182769472982035497e-01,1.505031887108083888e+00,0.000000000000000000e+00,-1.905876162324760814e-01,9.276337875497413232e-02,-2.216991539870437899e-01,-7.840244914208893690e-01,1.406456221192160516e+00
3.800000000000002265e-01,8.463556010001299645e-02,-2.068005333068097529e-01,-8.364164240990195065e-01,1.542336299088153284e+00,0.000000000000000000e+00,-1.886994709258873471e-01,8.876963893358763569e-02,-2.145210507766858177e-01,-1.060139434293695615e+00,1.413436664727255154e+00
3.850000000000002309e-01,8.041123568105405794e-02,-1.990016044240444926e-01,-8.530013594680374567e-01,1.576623532549004780e+00,0.000000000000000000e+00,-2.270965100849935692e-01,8.452412040592072184e-02,-2.067909153508930842e-01,-1.309209630330482321e+00,1.450665675388389975e+00
