# time, pos1, pos2, vel1, vel2, tau1, tau2, meas_pos1, meas_pos2, meas_vel1, meas_vel2
1.000000000000000194e-01,7.585160792832400245e-02,-1.568631217937703770e-01,9.359835591220460049e-01,-1.948607520753463440e+00,0.000000000000000000e+00,-2.348407334299629223e-01,7.121853049265353119e-02,-1.472223595872774737e-01,1.098457869713320267e+00,-1.778713510573408652e+00
1.050000000000000239e-01,8.051684895323334146e-02,-1.665819048532994895e-01,9.297150923808458201e-01,-1.938108240877463029e+00,0.000000000000000000e+00,-1.223745527226488550e-02,7.585160792832400245e-02,-1.568631217937703770e-01,1.013134941489296947e+00,-2.014025558337590560e+00
1.100000000000000283e-01,8.505911410908022219e-02,-1.760596959132371131e-01,8.868661016297368915e-01,-1.852358445396192765e+00,0.000000000000000000e+00,-2.860355936263637711e-01,8.051684895323334146e-02,-1.665819048532994895e-01,9.334137844661792860e-01,-2.406529640827142380e+00
1.150000000000000328e-01,8.948739196138498497e-02,-1.853156297011963050e-01,8.840661033550984982e-01,-1.849255151709482403e+00,0.000000000000000000e+00,-2.270636778221305219e-01,8.505911410908022219e-02,-1.760596959132371131e-01,9.756383894249192057e-01,-1.808644674331684632e+00
1.200000000000000372e-01,9.387349359359306589e-02,-1.944982958283646979e-01,8.700200598197865842e-01,-1.823100880051163220e+00,0.000000000000000000e+00,-1.072285960465804988e-01,8.948739196138498497e-02,-1.853156297011963050e-01,1.150891013663453588e+00,-2.037219377587073943e+00
1.250000000000000278e-01,9.813852780140289167e-02,-2.034457235781225171e-01,8.356869460458875576e-01,-1.755256537276234763e+00,0.000000000000000000e+00,-1.567436455015824848e-01,9.387349359359306589e-02,-1.944982958283646979e-01,9.216691711964708489e-01,-2.080945983501393481e+00
1.300000000000000322e-01,1.022461488922358358e-01,-2.120835712934622252e-01,8.070601870960405488e-01,-1.699279278134323778e+00,0.000000000000000000e+00,-1.120611914659300490e-01,9.813852780140289167e-02,-2.034457235781225171e-01,7.946127768086773679e-01,-1.838146067868772437e+00
1.350000000000000366e-01,1.061893498558428572e-01,-2.203979239487873498e-01,7.699491732850918257e-01,-1.625919458385610028e+00,0.000000000000000000e+00,2.918595246789965070e-02,1.022461488922358358e-01,-2.120835712934622252e-01,7.527832629486774785e-01,-1.863629046028088210e+00
1.400000000000000411e-01,1.098899772281332204e-01,-2.282282025562718530e-01,7.100902889173524857e-01,-1.505769730567831699e+00,0.000000000000000000e+00,-3.197135319606470016e-02,1.061893498558428572e-01,-2.203979239487873498e-01,3.927179986589521277e-01,-1.852083721410579420e+00
1.450000000000000455e-01,1.133111418603023612e-01,-2.354988010643395135e-01,6.581723535870954711e-01,-1.402063293308495773e+00,0.000000000000000000e+00,-1.560448432354397952e-01,1.098899772281332204e-01,-2.282282025562718530e-01,4.458062031958697213e-01,-1.725513024715506383e+00
1.500000000000000500e-01,1.165160168848902861e-01,-2.423402895528268541e-01,6.235635619518886674e-01,-1.334102920909155943e+00,0.000000000000000000e+00,-2.957293928194794086e-01,1.133111418603023612e-01,-2.354988010643395135e-01,6.586638197255444416e-01,-1.580110038833592467e+00
1.550000000000000544e-01,1.195965796233444262e-01,-2.489425920108723767e-01,6.084271541114409931e-01,-1.306347296370077959e+00,0.000000000000000000e+00,-4.148812426264752995e-01,1.165160168848902861e-01,-2.423402895528268541e-01,7.041132417147681899e-01,-1.266562307808161814e+00
1.600000000000000588e-01,1.226420626242822470e-01,-2.554899846919403417e-01,6.095094053249174859e-01,-1.312093668739860775e+00,0.000000000000000000e+00,-2.883566188396434748e-01,1.195965796233444262e-01,-2.489425920108723767e-01,8.546649153246814734e-01,-1.066380669811430648e+00
1.650000000000000633e-01,1.256424992506560145e-01,-2.619622990764601811e-01,5.904451940704242840e-01,-1.276389855733576884e+00,0.000000000000000000e+00,-1.522124869387414536e-01,1.226420626242822470e-01,-2.554899846919403417e-01,6.066991840353802568e-01,-1.121792919765789209e+00
1.700000000000000677e-01,1.284943893462151820e-01,-2.681465510939934349e-01,5.501364243049140512e-01,-1.196960591322632883e+00,0.000000000000000000e+00,-3.049050526877660205e-01,1.256424992506560145e-01,-2.619622990764601811e-01,5.787244962885850219e-01,-1.364302672595405941e+00
1.750000000000000722e-01,1.311980495920762324e-01,-2.740436821652230681e-01,5.311316008709544567e-01,-1.161497090436373059e+00,0.000000000000000000e+00,-1.881918760793209189e-01,1.284943893462151820e-01,-2.681465510939934349e-01,9.122100527511672885e-01,-1.191192441712525252e+00
1.800000000000000766e-01,1.337612565669228648e-01,-2.796699895512776979e-01,4.939934624638476213e-01,-1.088708163532017936e+00,0.000000000000000000e+00,-2.941071096158139886e-01,1.311980495920762324e-01,-2.740436821652230681e-01,3.724688231382689008e-01,-1.055110693507618880e+00
1.850000000000000810e-01,1.361749497288479438e-01,-2.850070308777291062e-01,4.713157526445059808e-01,-1.045769234053720131e+00,0.000000000000000000e+00,-1.180870915169454638e-01,1.337612565669228648e-01,-2.796699895512776979e-01,8.336421928825383798e-01,-1.046354795266826843e+00
1.900000000000000855e-01,1.384090626898393794e-01,-2.899930353898019786e-01,4.222116678265303569e-01,-9.483943837430509616e-01,0.000000000000000000e+00,-1.129314211755579334e-01,1.361749497288479438e-01,-2.850070308777291062e-01,5.335194174871127348e-01,-1.228065026691747219e+00
1.950000000000000899e-01,1.403941091543573216e-01,-2.944849166231614523e-01,3.717063802899687186e-01,-8.481538393930165842e-01,0.000000000000000000e+00,-3.734689617117208926e-01,1.384090626898393794e-01,-2.899930353898019786e-01,3.703617519945697767e-01,-1.097123153589471212e+00
2.000000000000000944e-01,1.422189760208089904e-01,-2.986660018065268596e-01,3.581035777008166887e-01,-8.240023195980028525e-01,0.000000000000000000e+00,-2.847525782578168019e-01,1.403941091543573216e-01,-2.944849166231614523e-01,6.067503381020522557e-01,-5.299172907100082597e-01
2.050000000000000988e-01,1.439419632513744274e-01,-3.026565734134821217e-01,3.309784688809620512e-01,-7.719962079160209711e-01,0.000000000000000000e+00,-1.585023663076641776e-01,1.422189760208089904e-01,-2.986660018065268596e-01,5.282650903596677328e-01,-6.463816039881910003e-01
2.100000000000001033e-01,1.454824798615760029e-01,-3.062905747560529801e-01,2.851489888612770418e-01,-6.814413138949806381e-01,0.000000000000000000e+00,-1.508925317457557314e-02,1.439419632513744274e-01,-3.026565734134821217e-01,2.593697813924390472e-01,-7.768433068802176322e-01
2.150000000000001077e-01,1.467414966202223725e-01,-3.093638702504253324e-01,2.184161911887715357e-01,-5.477886236297688782e-01,0.000000000000000000e+00,-2.003077782323992861e-01,1.454824798615760029e-01,-3.062905747560529801e-01,2.511292878866654421e-01,-1.094988187165147675e+00
2.200000000000001121e-01,1.477323573090205400e-01,-3.119039026828046013e-01,1.778755769880295545e-01,-4.681133453214015860e-01,0.000000000000000000e+00,-1.678164962145450578e-01,1.467414966202223725e-01,-3.093638702504253324e-01,3.638438836415890942e-01,-6.022476473734049707e-01
2.250000000000001166e-01,1.485082192758621078e-01,-3.140201621773116014e-01,1.324331420101284573e-01,-3.783117212194928025e-01,0.000000000000000000e+00,-1.587165265937361402e-01,1.477323573090205400e-01,-3.119039026828046013e-01,2.502135440798777255e-01,-5.838494262978604077e-01
2.300000000000001210e-01,1.490531555917221640e-01,-3.156796851388565806e-01,8.551906758066535330e-02,-2.854455855579945411e-01,0.000000000000000000e+00,-2.864724105464186432e-01,1.485082192758621078e-01,-3.140201621773116014e-01,4.323625637841395364e-02,-4.756261074789893684e-01
2.350000000000001255e-01,1.494086370868692171e-01,-3.169677937280333535e-01,5.665011360746138869e-02,-2.297434903305548004e-01,0.000000000000000000e+00,-2.487809957640163827e-01,1.490531555917221640e-01,-3.156796851388565806e-01,3.903355065823718717e-01,-1.797586922268156751e-01
2.400000000000001299e-01,1.496060870660731734e-01,-3.179490785258466956e-01,2.231912888217317537e-02,-1.627408388688724450e-01,0.000000000000000000e+00,-2.403540445839326412e-01,1.494086370868692171e-01,-3.169677937280333535e-01,5.047021358976381405e-02,-1.132081861691849184e-01
2.450000000000001343e-01,1.496287813357868868e-01,-3.185888403336243346e-01,-1.324137098008226071e-02,-9.315536704743081209e-02,0.000000000000000000e+00,-1.594486306940317011e-01,1.496060870660731734e-01,-3.179490785258466956e-01,1.988986664135896643e-01,-1.153520153290396866e-01
2.500000000000001110e-01,1.494450276679176182e-01,-3.188214829267166928e-01,-6.024372798029256626e-02,7.508712280086815571e-05,0.000000000000000000e+00,-3.080344471462665434e-01,1.496287813357868868e-01,-3.185888403336243346e-01,-7.462172879247301605e-02,-2.177236521117825729e-01
2.550000000000001155e-01,1.490792758636333148e-01,-3.186971043471658049e-01,-8.603739373372373822e-02,4.964646307725608526e-02,0.000000000000000000e+00,-1.681115993782371643e-01,1.494450276679176182e-01,-3.188214829267166928e-01,-2.547182289557851087e-01,3.160157914784275657e-01
2.600000000000001199e-01,1.485352458950347510e-01,-3.182230470702790415e-01,-1.315396351073890302e-01,1.399170452455338332e-01,0.000000000000000000e+00,-1.395281425664865738e-01,1.490792758636333148e-01,-3.186971043471658049e-01,-6.464921315134085356e-02,-7.593438939050872749e-02
2.650000000000001243e-01,1.477541429822516739e-01,-3.172777273142288190e-01,-1.808534302443386144e-01,2.381259363416040609e-01,0.000000000000000000e+00,-2.823557052048286664e-01,1.485352458950347510e-01,-3.182230470702790415e-01,2.345849271740500508e-01,-1.477154724783426576e-01
2.700000000000001288e-01,1.467780032510223320e-01,-3.159473827784623490e-01,-2.095446028227723467e-01,2.939069759260620751e-01,0.000000000000000000e+00,-1.909275832577879140e-01,1.477541429822516739e-01,-3.172777273142288190e-01,-2.988447823695273842e-01,4.281753930468754632e-01
2.750000000000001332e-01,1.456268016378960972e-01,-3.142727532314020800e-01,-2.508680908901161910e-01,3.758208201095861734e-01,0.000000000000000000e+00,-2.584955755629427809e-01,1.467780032510223320e-01,-3.159473827784623490e-01,-2.259521767621513466e-01,2.005774170569214476e-01
