time,pos1,pos2,vel1,vel2,tau1,tau2
5.235475063323974609e+00,-7.787823300526444115e-01,7.856488899061577769e-01,5.631868131868131400e+00,-7.950549450549448949e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.240475416183471680e+00,-7.505531395437561315e-01,7.440680552376583989e-01,5.532967032967032850e+00,-8.434065934065934300e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.245476007461547852e+00,-7.227054245822834844e-01,7.013427939269085698e-01,5.565934065934065700e+00,-8.587912087912087600e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.250476598739624023e+00,-6.937132829785603860e-01,6.570916304264891039e-01,5.851648351648350399e+00,-8.851648351648350399e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.255476951599121094e+00,-6.651026169222546969e-01,6.109330891889825921e-01,5.785714285714284699e+00,-9.258241758241759101e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.260477304458618164e+00,-6.353475242236967802e-01,5.636301213092238527e-01,6.049450549450551051e+00,-9.521978021978021900e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.265477895736694336e+00,-6.052109559777214542e-01,5.148012512397954765e-01,5.950549450549448949e+00,-9.961538461538459899e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.270478248596191406e+00,-5.743114366369113100e-01,4.644464789806974636e-01,6.137362637362638651e+00,-1.002747252747252560e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.275479078292846680e+00,-5.426489662012663473e-01,4.137102311741820415e-01,6.203296703296704351e+00,-1.012637362637362770e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.280479431152343750e+00,-5.109864957656213846e-01,3.625925078202492102e-01,6.302197802197802901e+00,-1.022527472527472270e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.285479784011840820e+00,-4.785610742351416036e-01,3.103303578240641514e-01,6.489010989010989050e+00,-1.034615384615384670e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.290480136871337891e+00,-4.461356527046618226e-01,2.584496833752965017e-01,6.521978021978021900e+00,-1.034615384615384670e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.295480489730834961e+00,-4.125658045319298139e-01,2.065690089265270757e-01,6.620879120879120450e+00,-1.041208791208791240e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.300480842590332031e+00,-3.805218585488674421e-01,1.539253833829246076e-01,6.401098901098901450e+00,-1.057692307692308020e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.305481195449829102e+00,-3.469520103761354335e-01,1.005188067444873212e-01,6.752747252747253626e+00,-1.066483516483516780e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.310481548309326172e+00,-3.137636377508208341e-01,4.825665674830226237e-02,6.587912087912087600e+00,-1.057692307692308020e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.315481901168823242e+00,-2.805752651255062347e-01,-4.768444342717614859e-03,6.840659340659341225e+00,-1.063186813186813140e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.320482254028320312e+00,-2.473868925001898589e-01,-5.779354543373749209e-02,6.456043956043956200e+00,-1.037912087912087600e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.325482606887817383e+00,-2.149614709697100778e-01,-1.092927443350877326e-01,6.434065934065934300e+00,-1.019230769230769340e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.330482959747314453e+00,-1.821545738918128876e-01,-1.585030899519335179e-01,6.620879120879120450e+00,-9.873626373626372299e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.335483312606811523e+00,-1.493476768139156974e-01,-2.069504844739444849e-01,6.554945054945054750e+00,-9.609890109890109500e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.340483665466308594e+00,-1.169222552834359163e-01,-2.538719768062875914e-01,6.489010989010989050e+00,-9.324175824175824800e+00,0.000000000000000000e+00,0.000000000000000000e+00
