time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2,tau_pert1,tau_pert2
6.130504608154296875e-02,-9.727626459143934312e-03,1.049057755397875269e-02,-3.814577218822336468e-01,5.721865828233504425e-01,-8.964675364309115935e-03,9.346150911726525123e-03,-5.721865828233504425e-01,5.721865828233504425e-01,-1.763819999999999928e-03,2.871900000000000147e-03,-1.768639999999999934e-01,2.878620000000000068e-01,-8.983540258563708081e-01,1.863849659469740683e-01,-2.469318101065227922e-01,1.863849659469740683e-01,-9.230769230769233502e-01,1.142857142857138797e-01,-3.320270000000000166e-01,0.000000000000000000e+00,5.135957549165407355e-225,0.000000000000000000e+00
6.330513954162597656e-02,-1.049057755397875269e-02,1.163500419623098026e-02,-3.814577218822336468e-01,5.721865828233504425e-01,-9.727626459143934312e-03,1.049057755397875269e-02,-3.814577218822336468e-01,5.721865828233504425e-01,-1.945129999999999993e-03,3.166979999999999795e-03,-1.857439999999999924e-01,3.022889999999999744e-01,-9.068824849136706279e-01,1.865188805883982726e-01,-2.470593721872810511e-01,1.865188805883982726e-01,-8.761904761904766303e-01,1.260073260073255597e-01,-3.324070000000000080e-01,0.000000000000000000e+00,1.475538562439761961e-224,0.000000000000000000e+00
6.530523300170898438e-02,-1.125352864881357107e-02,1.277943083848320782e-02,-3.814577218822336468e-01,5.721865828233504425e-01,-1.049057755397875269e-02,1.163500419623098026e-02,-3.814577218822336468e-01,5.721865828233504425e-01,-2.135310000000000073e-03,3.476480000000000108e-03,-1.946189999999999864e-01,3.167059999999999875e-01,-9.178234332010065666e-01,1.866191635930483095e-01,-2.471572102091182943e-01,1.866191635930483095e-01,-8.527472527472532704e-01,1.377289377289372396e-01,-3.327740000000000142e-01,0.000000000000000000e+00,4.234572759983695647e-224,0.000000000000000000e+00
6.730532646179199219e-02,-1.239795529106579863e-02,1.430533302815284458e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-1.125352864881357107e-02,1.277943083848320782e-02,-3.814577218822336468e-01,5.721865828233504425e-01,-2.334360000000000167e-03,3.800389999999999845e-03,-2.034890000000000032e-01,3.311109999999999887e-01,-8.826890373006799351e-01,1.868926264000996817e-01,-2.476984935366756957e-01,1.868926264000996817e-01,-8.820512820512824703e-01,1.260073260073255597e-01,-3.331279999999999797e-01,0.000000000000000000e+00,1.213943661243567687e-223,0.000000000000000000e+00
6.930541992187500000e-02,-1.354238193331802620e-02,1.583123521782248133e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-1.239795529106579863e-02,1.430533302815284458e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-2.542290000000000001e-03,4.138700000000000365e-03,-2.123529999999999862e-01,3.455019999999999758e-01,-8.584974926430117836e-01,1.870837308862474957e-01,-2.480591007057293129e-01,1.870837308862474957e-01,-9.230769230769233502e-01,9.670329670329635974e-02,-3.334690000000000154e-01,0.000000000000000000e+00,3.476300899695547131e-223,0.000000000000000000e+00
7.130551338195800781e-02,-1.430533302815284458e-02,1.812008850232693646e-02,-3.814577218822336468e-01,1.144373165646700885e+00,-1.354238193331802620e-02,1.583123521782248133e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-2.759070000000000186e-03,4.491389999999999619e-03,-2.212089999999999890e-01,3.598759999999999737e-01,-8.641657407666587520e-01,1.875042174445156473e-01,-2.479598496524075546e-01,1.875042174445156473e-01,-8.586080586080591104e-01,1.260073260073255597e-01,-3.337970000000000104e-01,0.000000000000000000e+00,9.944113823618667607e-223,0.000000000000000000e+00
7.330584526062011719e-02,-1.544975967040507214e-02,1.964599069199657322e-02,-5.721183841841581685e-01,7.628245122455442617e-01,-1.430533302815284458e-02,1.812008850232693646e-02,-3.814577218822336468e-01,1.144373165646700885e+00,-2.984699999999999853e-03,4.858450000000000268e-03,-2.300570000000000115e-01,3.742329999999999823e-01,-8.507041481091353052e-01,1.875420127428747974e-01,-2.482412227875400723e-01,1.875420127428747974e-01,-7.765567765567773506e-01,1.377289377289372396e-01,-3.341120000000000201e-01,0.000000000000000000e+00,2.841480692996676182e-222,0.000000000000000000e+00
7.530617713928222656e-02,-1.659418631265729971e-02,2.117189288166620997e-02,-5.721183841841581685e-01,7.628245122455442617e-01,-1.544975967040507214e-02,1.964599069199657322e-02,-5.721183841841581685e-01,7.628245122455442617e-01,-3.219179999999999871e-03,5.239849999999999890e-03,-2.388959999999999972e-01,3.885689999999999977e-01,-8.436806251302847448e-01,1.875716580243355358e-01,-2.484435241991945764e-01,1.875716580243355358e-01,-7.589743589743598307e-01,1.494505494505489196e-01,-3.344130000000000158e-01,0.000000000000000000e+00,8.110604589558948827e-222,0.000000000000000000e+00
7.730627059936523438e-02,-1.773861295490952728e-02,2.269779507133584673e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-1.659418631265729971e-02,2.117189288166620997e-02,-5.721183841841581685e-01,7.628245122455442617e-01,-3.462489999999999925e-03,5.635580000000000277e-03,-2.477239999999999998e-01,4.028840000000000199e-01,-8.417170421197182062e-01,1.875950688310989989e-01,-2.485930326368750443e-01,1.875950688310989989e-01,-8.058608058608065505e-01,1.611721611721605996e-01,-3.347019999999999995e-01,0.000000000000000000e+00,2.312552737097222424e-221,0.000000000000000000e+00
7.930636405944824219e-02,-1.888303959716175484e-02,2.460517280842289267e-02,-5.721865828233504425e-01,9.536443047055841449e-01,-1.773861295490952728e-02,2.269779507133584673e-02,-5.721865828233504425e-01,7.629154437644672937e-01,-3.714630000000000015e-03,6.045619999999999813e-03,-2.565399999999999903e-01,4.171750000000000180e-01,-8.347546477250975538e-01,1.877312269064873584e-01,-2.487055834595422177e-01,1.877312269064873584e-01,-8.117216117216123905e-01,1.553113553113547596e-01,-3.349770000000000247e-01,0.000000000000000000e+00,6.586579812452253526e-221,0.000000000000000000e+00
