time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2,tau_pert1,tau_pert2
2.458492517471313477e+00,1.085297932402529142e-01,9.288929579613913745e-02,1.907288609411168290e+00,-2.670204053175635472e+00,1.047150377660788223e-01,9.822995345998286609e-02,1.716559748470051439e+00,-2.479475192234518843e+00,1.644609999999999961e-01,-1.642099999999999949e-01,1.269390000000000018e+00,-2.466279999999999806e+00,1.579661223472888509e-01,-1.558017373092988878e-01,2.523027606607202156e-01,-1.905729367418331766e-01,1.611721611721605996e-01,-1.260073260073255597e-01,0.000000000000000000e+00,-1.798599999999999921e-01,1.379928698234688902e-39,9.936576551303257000e-17
2.460492610931396484e+00,1.123445487144270061e-01,8.754863813229540881e-02,1.907288609411168290e+00,-2.670204053175635472e+00,1.085297932402529142e-01,9.288929579613913745e-02,1.907288609411168290e+00,-2.670204053175635472e+00,1.657289999999999874e-01,-1.666749999999999898e-01,1.266920000000000046e+00,-2.465629999999999988e+00,1.517003765735078225e-01,-1.549843708870242420e-01,2.523215332581311143e-01,-1.906017847330226944e-01,1.728937728937722795e-01,-1.494505494505489196e-01,0.000000000000000000e+00,-1.819230000000000014e-01,1.813904095414519219e-39,8.350151116743850796e-17
2.462492704391479492e+00,1.161593041886010980e-01,8.258945601586908936e-02,1.907288609411168290e+00,-2.479475192234518843e+00,1.123445487144270061e-01,8.754863813229540881e-02,1.907288609411168290e+00,-2.670204053175635472e+00,1.669950000000000045e-01,-1.691410000000000136e-01,1.264429999999999943e+00,-2.464960000000000040e+00,1.459613039043005100e-01,-1.668832003905300621e-01,2.523364923062926257e-01,-1.905797428594057374e-01,1.611721611721605996e-01,-1.553113553113547596e-01,0.000000000000000000e+00,-1.839880000000000126e-01,2.383358789633757876e-39,7.014105808324077149e-17
2.464493036270141602e+00,1.199740596627751898e-01,7.724879835202536071e-02,1.907061280613860488e+00,-2.669885792859404638e+00,1.161593041886010980e-01,8.258945601586908936e-02,1.907288609411168290e+00,-2.479475192234518843e+00,1.682579999999999909e-01,-1.716050000000000075e-01,1.261910000000000087e+00,-2.464249999999999829e+00,1.411890244594751764e-01,-1.667476558945559795e-01,2.523483562270238401e-01,-1.906071388723443449e-01,1.670329670329664395e-01,-1.494505494505489196e-01,0.000000000000000000e+00,-1.860549999999999982e-01,3.130271159422987997e-39,5.889395443329802581e-17
2.466493129730224609e+00,1.234073395895318725e-01,7.228961623559904126e-02,1.716559748470051439e+00,-2.479475192234518843e+00,1.199740596627751898e-01,7.724879835202536071e-02,1.907061280613860488e+00,-2.669885792859404638e+00,1.695180000000000020e-01,-1.740690000000000015e-01,1.259379999999999944e+00,-2.463499999999999801e+00,1.495238520033833063e-01,-1.812981771548636545e-01,2.523021389295068695e-01,-1.905840360136320244e-01,1.494505494505489196e-01,-1.670329670329664395e-01,0.000000000000000000e+00,-1.881249999999999867e-01,4.109527810476708895e-39,4.942987865186192542e-17
2.468493223190307617e+00,1.272220950637059644e-01,6.694895857175531262e-02,1.907288609411168290e+00,-2.670204053175635472e+00,1.234073395895318725e-01,7.228961623559904126e-02,1.716559748470051439e+00,-2.479475192234518843e+00,1.707770000000000121e-01,-1.765319999999999945e-01,1.256820000000000048e+00,-2.462720000000000020e+00,1.430891873850868579e-01,-1.812151726519507233e-01,2.523210380678571618e-01,-1.906106391340032236e-01,1.553113553113547596e-01,-1.260073260073255597e-01,0.000000000000000000e+00,-1.901970000000000049e-01,5.392862128744238152e-39,4.146949988214352395e-17
2.470493316650390625e+00,1.306553749904626471e-01,6.160830090791158398e-02,1.716559748470051439e+00,-2.670204053175635472e+00,1.272220950637059644e-01,6.694895857175531262e-02,1.907288609411168290e+00,-2.670204053175635472e+00,1.720319999999999905e-01,-1.789949999999999875e-01,1.254240000000000022e+00,-2.461910000000000043e+00,1.503936263075993929e-01,-1.846778996249200944e-01,2.522800597222434882e-01,-1.906318705653929912e-01,1.435897435897430796e-01,-1.142857142857138797e-01,0.000000000000000000e+00,-1.922709999999999975e-01,7.073985102918572354e-39,3.477670862760362293e-17
2.472493410110473633e+00,1.344701304646367390e-01,5.626764324406785533e-02,1.907288609411168290e+00,-2.670204053175635472e+00,1.306553749904626471e-01,6.160830090791158398e-02,1.716559748470051439e+00,-2.670204053175635472e+00,1.732849999999999946e-01,-1.814560000000000062e-01,1.251640000000000086e+00,-2.461069999999999869e+00,1.428281310354839184e-01,-1.869358428053679577e-01,2.523034627761336912e-01,-1.906488237160150478e-01,1.435897435897430796e-01,-1.435897435897430796e-01,0.000000000000000000e+00,-1.943479999999999930e-01,9.275266442997319345e-39,2.915201513474608675e-17
2.474493503570556641e+00,1.379034103913934217e-01,5.092698558022412669e-02,1.716559748470051439e+00,-2.670204053175635472e+00,1.344701304646367390e-01,5.626764324406785533e-02,1.907288609411168290e+00,-2.670204053175635472e+00,1.745349999999999957e-01,-1.839169999999999972e-01,1.249009999999999954e+00,-2.460199999999999942e+00,1.492397863042778383e-01,-1.922652401605558781e-01,2.522658675984513210e-01,-1.906623661029018257e-01,1.553113553113547596e-01,-1.377289377289372396e-01,0.000000000000000000e+00,-1.964269999999999905e-01,1.215643065483206179e-38,2.442694250115537525e-17
2.477131843566894531e+00,1.432440680552371504e-01,4.367895017929335211e-02,2.024249213996964336e+00,-2.747195361853022710e+00,1.379034103913934217e-01,5.092698558022412669e-02,1.716559748470051439e+00,-2.670204053175635472e+00,1.757829999999999948e-01,-1.863769999999999871e-01,1.246369999999999978e+00,-2.459299999999999820e+00,1.323456647177354562e-01,-1.927060339975760206e-01,2.523265297432409349e-01,-1.906912347077674430e-01,1.670329670329664395e-01,-1.553113553113547596e-01,0.000000000000000000e+00,-1.985079999999999900e-01,1.592587085834163920e-38,2.045926674910041880e-17
