time, pos1, pos2, vel1, vel2, tau1, tau2, K11, K12, K13, K14, K21, K22, K23, K24, k1, k2
0.525, 0.126138, -0.443895, 0.839268, -3.40389, 0, -0.490871, 0, 0, 0, 0, 0.00175185, 0.0163287, -0.00130014, -0.000653384, 0, -9.76045e-08
0.53, 0.130344, -0.461013, 0.842844, -3.44207, 0, -0.504203, 0, 0, 0, 0, 0.00187946, 0.0194954, -0.00158293, -0.000890176, 0, -1.12719e-07
0.535, 0.134567, -0.478319, 0.845871, -3.47912, 0, -0.517436, 0, 0, 0, 0, 0.00195285, 0.0224894, -0.00186084, -0.00115783, 0, -1.27809e-07
0.54, 0.138804, -0.495807, 0.848323, -3.51495, 0, -0.53054, 0, 0, 0, 0, 0.00197882, 0.025292, -0.00213251, -0.0014549, 0, -1.42842e-07
0.545, 0.143051, -0.513472, 0.85017, -3.54947, 0, -0.543484, 0, 0, 0, 0, 0.00196416, 0.0278873, -0.00239674, -0.00177979, 0, -1.57788e-07
0.55, 0.147306, -0.531305, 0.851385, -3.58259, 0, -0.556237, 0, 0, 0, 0, 0.00191552, 0.0302616, -0.0026525, -0.00213085, 0, -1.72618e-07
0.555, 0.151565, -0.5493, 0.85194, -3.6142, 0, -0.568767, 0, 0, 0, 0, 0.00183939, 0.0324037, -0.00289893, -0.00250637, 0, -1.87307e-07
0.56, 0.155825, -0.567449, 0.851807, -3.64422, 0, -0.581042, 0, 0, 0, 0, 0.00174201, 0.034305, -0.0031353, -0.00290455, 0, -2.01833e-07
0.565, 0.160083, -0.585744, 0.850957, -3.67254, 0, -0.593028, 0, 0, 0, 0, 0.00162935, 0.0359592, -0.00336106, -0.00332359, 0, -2.16174e-07
0.57, 0.164335, -0.604176, 0.849365, -3.69907, 0, -0.604696, 0, 0, 0, 0, 0.00150706, 0.0373625, -0.00357581, -0.00376166, 0, -2.30311e-07
0.575, 0.168576, -0.622736, 0.847005, -3.7237, 0, -0.616012, 0, 0, 0, 0, 0.00138047, 0.0385131, -0.00377927, -0.00421691, 0, -2.44228e-07
