time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,shoulder_torque,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
3.100467660645263301e-02,2.302681538755358467e-03,1.329040654046410586e-01,4.487185863160149779e+00,1.052648612428869690e+01,-9.134822918052336316e-03,-8.087055107597492659e-03,-4.758821102604026132e-01,-1.619939633163049209e+01,-4.743420958434353452e+01,-3.631669453747181642e-01
3.200482746472529949e-02,2.452619168536284387e-03,1.373971540841770200e-01,4.497597123148097786e+00,1.029289307602287451e+01,-9.429494625086284887e-03,-8.616635638189968846e-03,-4.921075546326152961e-01,-1.624647765074945482e+01,-4.671422558327886065e+01,-3.647846144556818326e-01
3.300497832299796597e-02,2.607219745114872176e-03,1.419005387625593972e-01,4.507774754848336229e+00,1.005930002775705034e+01,-9.724166332120233458e-03,-9.162973009004269156e-03,-5.083797273259292870e-01,-1.629283887725181046e+01,-4.599424158221419390e+01,-3.664022835366455011e-01
3.400512918127063244e-02,2.766477300131004076e-03,1.464139857762556951e-01,4.517718758260865108e+00,9.825706979491229731e+00,-1.001883803915418203e-02,-9.726063820372011712e-03,-5.246979081390957811e-01,-1.633848001113755899e+01,-4.527425758114952714e+01,-3.680199526176091696e-01
3.500528003954329892e-02,2.930385865224559728e-03,1.509372614617335018e-01,4.527429133385684423e+00,9.592113931225405565e+00,-1.031350974618813060e-02,-1.030590467262479729e-02,-5.410613768708664173e-01,-1.638340105240669686e+01,-4.455427358008485328e+01,-3.696376216985728380e-01
3.600543089781596540e-02,3.098939472035419206e-03,1.554701321554602944e-01,4.536905880222793286e+00,9.358520882959583176e+00,-1.060818145322207917e-02,-1.090249216609424053e-02,-5.574694133199926682e-01,-1.642760200105923474e+01,-4.383428957902017942e+01,-3.712552907795365620e-01
3.700558175608862493e-02,3.272132152203463019e-03,1.600123641939035779e-01,4.546148998772193472e+00,9.124927834693762563e+00,-1.090285316025602427e-02,-1.151582290111194395e-02,-5.739212972852258954e-01,-1.647108285709515840e+01,-4.311430557795551266e+01,-3.728729598605002304e-01
3.800573261436129141e-02,3.449957937368573410e-03,1.645637239135309682e-01,4.555158489033884095e+00,8.891334786427940173e+00,-1.119752486728997284e-02,-1.214589347800952568e-02,-5.904163085653175713e-01,-1.651384362051447496e+01,-4.239432157689084590e+01,-3.744906289414638989e-01
3.900588347263395789e-02,3.632410859170629152e-03,1.691239776508099424e-01,4.563934351007863377e+00,8.657741738162117784e+00,-1.149219657432392142e-02,-1.279270049711858821e-02,-6.069537269590192796e-01,-1.655588429131718797e+01,-4.167433757582617204e+01,-3.761082980224275674e-01
4.000603433090662436e-02,3.819484949249511187e-03,1.736928917422080609e-01,4.572476584694134871e+00,8.424148689896295394e+00,-1.178686828135786999e-02,-1.345624055877074274e-02,-6.235328322650823818e-01,-1.659720486950329033e+01,-4.095435357476149818e+01,-3.777259671033912358e-01
4.100618518917929084e-02,4.011174239245098722e-03,1.782702325241928287e-01,4.580785190092696801e+00,8.190555641630471229e+00,-1.208153998839181856e-02,-1.413651026329759697e-02,-6.401529042822585724e-01,-1.663780535507278557e+01,-4.023436957369682432e+01,-3.793436361843549598e-01
4.200633604745195732e-02,4.207472760797274433e-03,1.828557663332317507e-01,4.588860167203549167e+00,7.956962593364648839e+00,-1.237621169542576713e-02,-1.483350621103075861e-02,-6.568132228092988800e-01,-1.667768574802567727e+01,-3.951438557263215756e+01,-3.809613052653186283e-01
4.300648690572462379e-02,4.408374545545916227e-03,1.874492595057924149e-01,4.596701516026691969e+00,7.723369545098826450e+00,-1.267088340245971570e-02,-1.554722500230183886e-02,-6.735130676449549991e-01,-1.671684604836195831e+01,-3.879440157156749081e+01,-3.825789743462822967e-01
4.400663776399728333e-02,4.613873625130904613e-03,1.920504783783422709e-01,4.604309236562123431e+00,7.489776496833005837e+00,-1.296555510949366254e-02,-1.627766323744244195e-02,-6.902517185879784023e-01,-1.675528625608163225e+01,-3.807441757050281694e+01,-3.841966434272459652e-01
4.500678862226994981e-02,4.823964031192123567e-03,1.966591892873489900e-01,4.611683328809847104e+00,7.256183448567183447e+00,-1.326022681652761111e-02,-1.702481751678418254e-02,-7.070284554371205621e-01,-1.679300637118469908e+01,-3.735443356943815019e+01,-3.858143125082096336e-01
4.600693948054261628e-02,5.038639795369450995e-03,2.012751585692799661e-01,4.618823792769861214e+00,7.022590400301361058e+00,-1.355489852356155968e-02,-1.778868444065867180e-02,-7.238425579911329510e-01,-1.683000639367115880e+01,-3.663444956837347632e+01,-3.874319815891733576e-01
